Composition,denstiy,Temperature
Rb7Na1Ba8K7Sr2Mg8Cs9Zn7Li4Zr2Ca2Cl90,2.00993291458541,1350
Ba8Mg4Li8Zr9Ca5K1Cs6Zn1Sr4Rb1Na8Cl104,2.07052523946053,1250
Zr8Zn5Mg2Ca7K7Na2Ba5Cs4Li3Sr9Rb4Cl108,1.88089731708291,1500
Sr9Ca7Li1Na9Rb5Cs3K1Zr9Zn7Mg1Ba3Cl109,1.85507582177822,1500
Mg4K1Rb11Na6Sr5Zn5Li5Ba2Ca2Cs8Zr6Cl91,1.95449677472527,1350
Rb7Na5Zr2Cs1Li8Sr7Mg4Zn1K6Ba6Ca9Cl89,2.09338331788211,1100
Ba6Li5Zr2Na7Mg6Ca2Sr5Zn3Rb7Cs4K8Cl83,1.99385498041958,1250
Sr5Ca6Zn3Ba8Na2Zr8Mg2Rb2K9Cs8Li3Cl104,2.09247422037962,1200
Zn8K2Ba4Sr3Na6Li8Zr6Ca3Cs7Rb4Mg5Cl97,2.01025591998002,1250
K4Zn4Na4Ba5Cs6Li2Ca5Mg4Zr6Rb7Sr9Cl101,2.14705636123876,1150
Na6Zr8Rb9Mg1Li3Zn4Cs3Sr1Ba9K9Ca4Cl100,1.92644155704295,1400
Na7Cs2Ca3Zn6Li2Zr1Sr8Ba8Mg7K5Rb6Cl90,1.99334798241758,1450
Na8Sr8Ba2Mg1K4Zn9Zr4Ca2Cs5Rb6Li7Cl90,2.0972636008991,1150
Ca2Ba2Zn1Na5K4Zr11Rb5Cs4Li2Sr9Mg12Cl116,1.77586767972027,1450
Sr2Li2Rb10Ca8Na4Cs5Zr8K3Ba3Mg5Zn6Cl104,1.81885228241758,1450
Na4Mg7Zn7Li3Zr6K5Rb5Ca5Cs7Sr3Ba2Cl96,2.06080149120879,1050
Cs1Ba6Li1Ca8K2Rb8Na7Zn7Sr5Zr4Mg6Cl99,1.92959599370629,1450
Ca3Na6Mg9Zn9K3Li7Cs1Rb5Sr7Ba1Zr4Cl96,1.95974716493506,1200
Ca4Sr7Cs4Mg1Rb9Zn3K8Na2Ba2Zr8Li6Cl95,1.81908777412587,1500
